"PolyID","imd_rank","imd_national_decile","nation"
"E01000001",26525,8,"England"
"E01000002",31203,10,"England"
"E01000003",25913,8,"England"
"E01000005",14807,5,"England"
"E01000006",10917,4,"England"
"E01000007",5377,2,"England"
"E01000008",4400,2,"England"
"E01000009",4812,2,"England"
"E01000011",5535,2,"England"
"E01000012",5278,2,"England"
"E01000013",7410,3,"England"
"E01000014",9243,3,"England"
"E01000015",8120,3,"England"
"E01000016",10202,4,"England"
"E01000017",7452,3,"England"
"E01000018",8300,3,"England"
"E01000019",7965,3,"England"
"E01000020",8264,3,"England"
"E01000021",5192,2,"England"
"E01000022",8043,3,"England"
"E01000024",8426,3,"England"
"E01000025",8359,3,"England"
"E01000027",6841,3,"England"
"E01000028",6021,2,"England"
"E01000029",15432,5,"England"
"E01000030",6345,2,"England"
"E01000031",13927,5,"England"
"E01000032",10040,3,"England"
"E01000033",6743,2,"England"
"E01000034",8994,3,"England"
"E01000035",8514,3,"England"
"E01000036",10874,4,"England"
"E01000037",16580,5,"England"
"E01000038",16728,5,"England"
"E01000039",17151,6,"England"
"E01000040",5208,2,"England"
"E01000041",10397,4,"England"
"E01000042",4753,2,"England"
"E01000043",9631,3,"England"
"E01000044",7562,3,"England"
"E01000045",6387,2,"England"
"E01000046",9497,3,"England"
"E01000049",5459,2,"England"
"E01000050",7897,3,"England"
"E01000051",7571,3,"England"
"E01000052",6208,2,"England"
"E01000053",6763,3,"England"
"E01000054",9055,3,"England"
"E01000055",8945,3,"England"
"E01000056",4599,2,"England"
"E01000057",8843,3,"England"
"E01000058",8503,3,"England"
"E01000059",9848,3,"England"
"E01000060",7035,3,"England"
"E01000061",1545,1,"England"
"E01000062",10394,4,"England"
"E01000063",10883,4,"England"
"E01000064",7649,3,"England"
"E01000065",5811,2,"England"
"E01000066",13708,5,"England"
"E01000067",11472,4,"England"
"E01000068",12348,4,"England"
"E01000069",18866,6,"England"
"E01000070",12968,4,"England"
"E01000071",13366,4,"England"
"E01000072",5523,2,"England"
"E01000073",8025,3,"England"
"E01000074",8640,3,"England"
"E01000075",10481,4,"England"
"E01000076",8315,3,"England"
"E01000077",6646,2,"England"
"E01000078",7165,3,"England"
"E01000079",9422,3,"England"
"E01000080",9673,3,"England"
"E01000081",11202,4,"England"
"E01000082",8446,3,"England"
"E01000083",6814,3,"England"
"E01000084",6644,2,"England"
"E01000085",5699,2,"England"
"E01000086",6870,3,"England"
"E01000087",7092,3,"England"
"E01000088",9752,3,"England"
"E01000089",8110,3,"England"
"E01000090",8847,3,"England"
"E01000091",4644,2,"England"
"E01000093",3999,2,"England"
"E01000094",12032,4,"England"
"E01000095",6862,3,"England"
"E01000096",6611,2,"England"
"E01000097",7385,3,"England"
"E01000098",5725,2,"England"
"E01000099",11925,4,"England"
"E01000100",9927,3,"England"
"E01000101",6585,2,"England"
"E01000102",6771,3,"England"
"E01000103",10456,4,"England"
"E01000104",6517,2,"England"
"E01000105",4451,2,"England"
"E01000106",3580,2,"England"
"E01000107",12519,4,"England"
"E01000108",9311,3,"England"
"E01000110",16154,5,"England"
"E01000111",9532,3,"England"
"E01000112",10982,4,"England"
"E01000113",8791,3,"England"
"E01000114",9786,3,"England"
"E01000115",30546,10,"England"
"E01000116",25568,8,"England"
"E01000117",25250,8,"England"
"E01000118",23486,7,"England"
"E01000119",27394,9,"England"
"E01000120",29768,9,"England"
"E01000121",8255,3,"England"
"E01000122",26263,8,"England"
"E01000123",18894,6,"England"
"E01000124",11873,4,"England"
"E01000126",6096,2,"England"
"E01000127",8055,3,"England"
"E01000128",8961,3,"England"
"E01000129",3668,2,"England"
"E01000130",9376,3,"England"
"E01000131",12031,4,"England"
"E01000132",7980,3,"England"
"E01000133",7811,3,"England"
"E01000134",10065,3,"England"
"E01000135",23144,7,"England"
"E01000136",25507,8,"England"
"E01000137",7934,3,"England"
"E01000138",8092,3,"England"
"E01000139",17259,6,"England"
"E01000140",17297,6,"England"
"E01000141",4170,2,"England"
"E01000142",9739,3,"England"
"E01000143",7234,3,"England"
"E01000144",11364,4,"England"
"E01000145",12393,4,"England"
"E01000146",10219,4,"England"
"E01000147",14403,5,"England"
