"region","gs_all_ha","gs_npg_ha","gs_pub_ha","pave_ha","pr_gard_ha","total_gs_all_pave_ha","gs_all_prop","gs_pg_prop","gs_npg_prop","gs_non_dom_priv_prop","gs_pub_prop","pave_all_prop","pr_gard_prop","non_dom_priv_prop","public_prop"
"EastEng",17820.3142,5054.8586,4505.7397,366.9708,12765.4556,18187.285,0.9798,0.7019,0.2779,0.0302,0.2477,0.0202,0.7163,0.0308,0.2528
"EMidlandEng",12609.4571,3262.7707,2903.3511,327.5545,9346.6864,12937.0116,0.9747,0.7225,0.2522,0.0278,0.2244,0.0253,0.7412,0.0285,0.2303
"GrLondEng",36246.2737,7567.0379,6910.7246,1470.1606,28679.2358,37716.4343,0.961,0.7604,0.2006,0.0174,0.1832,0.039,0.7912,0.0181,0.1907
"NEEng",9224.1188,2968.4427,2733.984,348.7556,6255.6761,9572.8744,0.9636,0.6535,0.3101,0.0245,0.2856,0.0364,0.6782,0.0254,0.2964
"NWEng",22032.2071,6144.3377,5654.088,880.4823,15887.8694,22912.6894,0.9616,0.6934,0.2682,0.0214,0.2468,0.0384,0.7211,0.0223,0.2566
"SEEng",21459.0884,5805.2672,5242.7451,397.8032,15653.8212,21856.8916,0.9818,0.7162,0.2656,0.0257,0.2399,0.0182,0.7295,0.0262,0.2443
"SWEng",15537.6213,3416.6653,3088.3215,346.5656,12120.956,15884.1869,0.9782,0.7631,0.2151,0.0207,0.1944,0.0218,0.7801,0.0211,0.1988
"Wales",6129.7454,2028.343,1904.3489,147.8611,4101.4024,6277.6065,0.9764,0.6533,0.3231,0.0198,0.3034,0.0236,0.6691,0.0202,0.3107
"WMidlandEng",26966.8298,6169.0249,5649.6658,791.0568,20797.8049,27757.8866,0.9715,0.7493,0.2222,0.0187,0.2035,0.0285,0.7712,0.0193,0.2095
"YorkHumberEng",24077.3126,6828.929,6300.5098,592.5529,17248.3836,24669.8655,0.976,0.6992,0.2768,0.0214,0.2554,0.024,0.7164,0.0219,0.2617
